CPU Usage - 20.06.2022 07:57:19
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,77                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,77                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,68                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,77                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,77                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,77                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,77                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,77                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,77                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,77                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,77                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0                   |
|DapperDelete        |1000                |0,76                |
----------------------------------------------------------------
|Ortalama Değer      |1000                |0,33                |
