CPU Usage - 18.06.2022 19:52:31
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|NHibernateOrder     |0                   |9,15                |
|NHibernateOrder     |0                   |7,84                |
|NHibernateOrder     |0                   |8,99                |
|NHibernateOrder     |0                   |8,54                |
|NHibernateOrder     |0                   |8,4                 |
|NHibernateOrder     |0                   |8,83                |
|NHibernateOrder     |0                   |8,23                |
|NHibernateOrder     |0                   |8,92                |
|NHibernateOrder     |0                   |9,49                |
|NHibernateOrder     |0                   |7,99                |
|NHibernateOrder     |0                   |9,15                |
|NHibernateOrder     |0                   |9,49                |
|NHibernateOrder     |0                   |7,78                |
|NHibernateOrder     |0                   |9,32                |
|NHibernateOrder     |0                   |9,06                |
|NHibernateOrder     |0                   |9,58                |
|NHibernateOrder     |0                   |9,46                |
|NHibernateOrder     |0                   |8,5                 |
|NHibernateOrder     |0                   |8,36                |
|NHibernateOrder     |0                   |8,6                 |
|NHibernateOrder     |0                   |9,22                |
|NHibernateOrder     |0                   |8,39                |
|NHibernateOrder     |0                   |9,24                |
|NHibernateOrder     |0                   |9,58                |
|NHibernateOrder     |0                   |8,28                |
|NHibernateOrder     |0                   |8,93                |
|NHibernateOrder     |0                   |9,19                |
|NHibernateOrder     |0                   |8,36                |
|NHibernateOrder     |0                   |8,5                 |
|NHibernateOrder     |0                   |8,72                |
|NHibernateOrder     |0                   |9,69                |
|NHibernateOrder     |0                   |9,51                |
|NHibernateOrder     |0                   |8,17                |
|NHibernateOrder     |0                   |8,69                |
|NHibernateOrder     |0                   |8,56                |
|NHibernateOrder     |0                   |9,19                |
|NHibernateOrder     |0                   |8,06                |
|NHibernateOrder     |0                   |8,93                |
|NHibernateOrder     |0                   |9,27                |
|NHibernateOrder     |0                   |8,73                |
|NHibernateOrder     |0                   |9,21                |
|NHibernateOrder     |0                   |10,04               |
|NHibernateOrder     |0                   |8,14                |
|NHibernateOrder     |0                   |9,14                |
|NHibernateOrder     |0                   |9,1                 |
|NHibernateOrder     |0                   |9,59                |
|NHibernateOrder     |0                   |9,55                |
|NHibernateOrder     |0                   |7,62                |
|NHibernateOrder     |0                   |8,15                |
|NHibernateOrder     |0                   |9,13                |
|NHibernateOrder     |0                   |8,81                |
|NHibernateOrder     |0                   |9,5                 |
|NHibernateOrder     |0                   |8,6                 |
|NHibernateOrder     |0                   |9,38                |
|NHibernateOrder     |0                   |8,65                |
|NHibernateOrder     |0                   |9,11                |
|NHibernateOrder     |0                   |9,49                |
|NHibernateOrder     |0                   |8,48                |
|NHibernateOrder     |0                   |9,08                |
|NHibernateOrder     |0                   |8,99                |
|NHibernateOrder     |0                   |9,85                |
|NHibernateOrder     |0                   |9,51                |
|NHibernateOrder     |0                   |8,42                |
|NHibernateOrder     |0                   |8,32                |
|NHibernateOrder     |0                   |8,99                |
|NHibernateOrder     |0                   |9,4                 |
|NHibernateOrder     |0                   |8,47                |
|NHibernateOrder     |0                   |8,91                |
|NHibernateOrder     |0                   |9,18                |
|NHibernateOrder     |0                   |8,43                |
|NHibernateOrder     |0                   |9,44                |
|NHibernateOrder     |0                   |8,4                 |
|NHibernateOrder     |0                   |9,03                |
|NHibernateOrder     |0                   |9,52                |
|NHibernateOrder     |0                   |8,18                |
|NHibernateOrder     |0                   |8,64                |
|NHibernateOrder     |0                   |8,87                |
|NHibernateOrder     |0                   |8,68                |
|NHibernateOrder     |0                   |9,07                |
|NHibernateOrder     |0                   |8,58                |
|NHibernateOrder     |0                   |9,29                |
|NHibernateOrder     |0                   |9,82                |
|NHibernateOrder     |0                   |9,27                |
|NHibernateOrder     |0                   |8,75                |
|NHibernateOrder     |0                   |9,28                |
|NHibernateOrder     |0                   |9,83                |
|NHibernateOrder     |0                   |8,96                |
|NHibernateOrder     |0                   |8,13                |
|NHibernateOrder     |0                   |8,87                |
|NHibernateOrder     |0                   |8,84                |
|NHibernateOrder     |0                   |8,87                |
|NHibernateOrder     |0                   |8,83                |
|NHibernateOrder     |0                   |8,68                |
|NHibernateOrder     |0                   |9,24                |
|NHibernateOrder     |0                   |9,42                |
|NHibernateOrder     |0                   |8,43                |
|NHibernateOrder     |0                   |8,84                |
|NHibernateOrder     |0                   |8,62                |
|NHibernateOrder     |0                   |9,67                |
|NHibernateOrder     |0                   |9,22                |
|NHibernateOrder     |0                   |8,07                |
|NHibernateOrder     |0                   |8,35                |
|NHibernateOrder     |0                   |9,65                |
|NHibernateOrder     |0                   |8,84                |
|NHibernateOrder     |0                   |8,06                |
|NHibernateOrder     |0                   |9,56                |
|NHibernateOrder     |0                   |9,58                |
|NHibernateOrder     |0                   |8,38                |
|NHibernateOrder     |0                   |9,22                |
|NHibernateOrder     |0                   |9,51                |
|NHibernateOrder     |0                   |8,08                |
|NHibernateOrder     |0                   |9,1                 |
|NHibernateOrder     |0                   |9,03                |
|NHibernateOrder     |0                   |9,65                |
|NHibernateOrder     |0                   |9,2                 |
|NHibernateOrder     |0                   |8,11                |
|NHibernateOrder     |0                   |8,37                |
|NHibernateOrder     |0                   |8,51                |
|NHibernateOrder     |0                   |9,2                 |
|NHibernateOrder     |0                   |8,71                |
|NHibernateOrder     |0                   |8,55                |
|NHibernateOrder     |0                   |9,44                |
|NHibernateOrder     |0                   |8,42                |
|NHibernateOrder     |0                   |9,15                |
|NHibernateOrder     |0                   |8,9                 |
|NHibernateOrder     |0                   |9,56                |
|NHibernateOrder     |0                   |9,87                |
|NHibernateOrder     |0                   |8,14                |
|NHibernateOrder     |0                   |8,86                |
|NHibernateOrder     |0                   |8,74                |
|NHibernateOrder     |0                   |9,11                |
|NHibernateOrder     |0                   |8,78                |
|NHibernateOrder     |0                   |8,79                |
|NHibernateOrder     |0                   |9,51                |
|NHibernateOrder     |0                   |8,75                |
|NHibernateOrder     |0                   |8,67                |
|NHibernateOrder     |0                   |9,17                |
|NHibernateOrder     |0                   |7,82                |
|NHibernateOrder     |0                   |8,22                |
|NHibernateOrder     |0                   |9,2                 |
|NHibernateOrder     |0                   |9,63                |
|NHibernateOrder     |0                   |9,41                |
|NHibernateOrder     |0                   |7,78                |
|NHibernateOrder     |0                   |8,91                |
|NHibernateOrder     |0                   |8,53                |
|NHibernateOrder     |0                   |8,33                |
|NHibernateOrder     |0                   |8,72                |
|NHibernateOrder     |0                   |8,65                |
|NHibernateOrder     |0                   |8,9                 |
|NHibernateOrder     |0                   |9,18                |
|NHibernateOrder     |0                   |8,73                |
|NHibernateOrder     |0                   |9,25                |
|NHibernateOrder     |0                   |9,66                |
|NHibernateOrder     |0                   |8,09                |
|NHibernateOrder     |0                   |8,75                |
|NHibernateOrder     |0                   |9,04                |
|NHibernateOrder     |0                   |10,51               |
|NHibernateOrder     |0                   |9,15                |
|NHibernateOrder     |0                   |8,04                |
|NHibernateOrder     |0                   |8,31                |
|NHibernateOrder     |0                   |8,54                |
|NHibernateOrder     |0                   |9,7                 |
|NHibernateOrder     |0                   |8,92                |
|NHibernateOrder     |0                   |8,64                |
|NHibernateOrder     |0                   |9,1                 |
|NHibernateOrder     |0                   |8,06                |
|NHibernateOrder     |0                   |9,15                |
|NHibernateOrder     |0                   |9,45                |
|NHibernateOrder     |0                   |8,04                |
|NHibernateOrder     |0                   |8,57                |
|NHibernateOrder     |0                   |10,05               |
|NHibernateOrder     |0                   |8,11                |
|NHibernateOrder     |0                   |9,5                 |
|NHibernateOrder     |0                   |8,88                |
|NHibernateOrder     |0                   |9,44                |
|NHibernateOrder     |0                   |8,15                |
|NHibernateOrder     |0                   |8,41                |
|NHibernateOrder     |0                   |8,72                |
|NHibernateOrder     |0                   |9,93                |
|NHibernateOrder     |0                   |9,44                |
|NHibernateOrder     |0                   |8,16                |
|NHibernateOrder     |0                   |8,31                |
|NHibernateOrder     |0                   |8,34                |
|NHibernateOrder     |0                   |9,53                |
|NHibernateOrder     |0                   |8,28                |
|NHibernateOrder     |0                   |8,83                |
|NHibernateOrder     |0                   |8,08                |
|NHibernateOrder     |0                   |8,83                |
|NHibernateOrder     |0                   |9,22                |
|NHibernateOrder     |0                   |8,38                |
|NHibernateOrder     |0                   |8,56                |
|NHibernateOrder     |0                   |9,78                |
|NHibernateOrder     |0                   |8,13                |
|NHibernateOrder     |0                   |8,48                |
|NHibernateOrder     |0                   |8,64                |
|NHibernateOrder     |0                   |9,75                |
|NHibernateOrder     |0                   |8,46                |
|NHibernateOrder     |0                   |9,52                |
|NHibernateOrder     |0                   |9,01                |
|NHibernateOrder     |0                   |10,31               |
|NHibernateOrder     |0                   |9,32                |
|NHibernateOrder     |0                   |8,09                |
|NHibernateOrder     |0                   |8,32                |
|NHibernateOrder     |0                   |9,05                |
|NHibernateOrder     |0                   |9,79                |
|NHibernateOrder     |0                   |7,98                |
|NHibernateOrder     |0                   |8,53                |
|NHibernateOrder     |0                   |8,6                 |
|NHibernateOrder     |0                   |9,26                |
|NHibernateOrder     |0                   |9,48                |
|NHibernateOrder     |0                   |8,74                |
|NHibernateOrder     |0                   |8,88                |
|NHibernateOrder     |0                   |9,75                |
|NHibernateOrder     |0                   |9,06                |
|NHibernateOrder     |0                   |8,59                |
|NHibernateOrder     |0                   |9,49                |
|NHibernateOrder     |0                   |8,92                |
|NHibernateOrder     |0                   |8,61                |
|NHibernateOrder     |0                   |9,12                |
|NHibernateOrder     |0                   |7,84                |
|NHibernateOrder     |0                   |8,48                |
|NHibernateOrder     |0                   |8,81                |
|NHibernateOrder     |0                   |9,22                |
|NHibernateOrder     |0                   |9,25                |
|NHibernateOrder     |0                   |8,48                |
|NHibernateOrder     |0                   |8,78                |
|NHibernateOrder     |0                   |9,35                |
|NHibernateOrder     |0                   |9,36                |
|NHibernateOrder     |0                   |9,51                |
|NHibernateOrder     |0                   |8,09                |
|NHibernateOrder     |0                   |9,64                |
|NHibernateOrder     |0                   |8,15                |
|NHibernateOrder     |0                   |8,85                |
|NHibernateOrder     |0                   |8,69                |
|NHibernateOrder     |0                   |9,81                |
|NHibernateOrder     |0                   |8,67                |
|NHibernateOrder     |0                   |8,81                |
|NHibernateOrder     |0                   |8,82                |
|NHibernateOrder     |0                   |8,84                |
|NHibernateOrder     |0                   |9,08                |
|NHibernateOrder     |0                   |8,41                |
|NHibernateOrder     |0                   |8,62                |
|NHibernateOrder     |0                   |9,22                |
|NHibernateOrder     |0                   |8,78                |
|NHibernateOrder     |0                   |9,2                 |
|NHibernateOrder     |0                   |9,47                |
|NHibernateOrder     |0                   |8,33                |
|NHibernateOrder     |0                   |9,19                |
|NHibernateOrder     |0                   |9,15                |
|NHibernateOrder     |0                   |8,33                |
|NHibernateOrder     |0                   |9,22                |
|NHibernateOrder     |0                   |9,4                 |
|NHibernateOrder     |0                   |8,99                |
|NHibernateOrder     |0                   |8,53                |
|NHibernateOrder     |0                   |10,14               |
|NHibernateOrder     |0                   |8,24                |
|NHibernateOrder     |0                   |8,87                |
|NHibernateOrder     |0                   |8,36                |
|NHibernateOrder     |0                   |9,17                |
|NHibernateOrder     |0                   |8,13                |
|NHibernateOrder     |0                   |8,75                |
|NHibernateOrder     |0                   |9,05                |
|NHibernateOrder     |0                   |9,65                |
|NHibernateOrder     |0                   |9,57                |
|NHibernateOrder     |0                   |8,14                |
|NHibernateOrder     |0                   |8,34                |
|NHibernateOrder     |0                   |9,27                |
|NHibernateOrder     |0                   |9,15                |
|NHibernateOrder     |0                   |8,63                |
|NHibernateOrder     |0                   |9,18                |
|NHibernateOrder     |0                   |8,68                |
|NHibernateOrder     |0                   |8,59                |
|NHibernateOrder     |0                   |9,16                |
|NHibernateOrder     |0                   |8,65                |
|NHibernateOrder     |0                   |8,85                |
|NHibernateOrder     |0                   |9,86                |
|NHibernateOrder     |0                   |8,29                |
|NHibernateOrder     |0                   |8,42                |
|NHibernateOrder     |0                   |10                  |
|NHibernateOrder     |0                   |8,24                |
|NHibernateOrder     |0                   |9,03                |
|NHibernateOrder     |0                   |9,1                 |
|NHibernateOrder     |0                   |9,61                |
|NHibernateOrder     |0                   |9,23                |
|NHibernateOrder     |0                   |7,79                |
|NHibernateOrder     |0                   |9,91                |
|NHibernateOrder     |0                   |8,06                |
|NHibernateOrder     |0                   |8,88                |
|NHibernateOrder     |0                   |9,11                |
|NHibernateOrder     |0                   |8,71                |
|NHibernateOrder     |0                   |8,76                |
|NHibernateOrder     |0                   |9,73                |
|NHibernateOrder     |0                   |9,04                |
|NHibernateOrder     |0                   |8,77                |
|NHibernateOrder     |0                   |9,84                |
|NHibernateOrder     |0                   |8,62                |
|NHibernateOrder     |0                   |8,94                |
|NHibernateOrder     |0                   |8,91                |
|NHibernateOrder     |0                   |8,69                |
|NHibernateOrder     |0                   |8,82                |
|NHibernateOrder     |0                   |8,39                |
|NHibernateOrder     |0                   |8,44                |
|NHibernateOrder     |0                   |8,7                 |
|NHibernateOrder     |0                   |9,2                 |
|NHibernateOrder     |0                   |9,56                |
|NHibernateOrder     |0                   |8,74                |
|NHibernateOrder     |0                   |9,13                |
|NHibernateOrder     |0                   |9,47                |
|NHibernateOrder     |0                   |8,34                |
|NHibernateOrder     |0                   |8,9                 |
|NHibernateOrder     |0                   |9,55                |
|NHibernateOrder     |0                   |8,37                |
|NHibernateOrder     |0                   |8,94                |
|NHibernateOrder     |0                   |9,59                |
|NHibernateOrder     |0                   |8                   |
|NHibernateOrder     |0                   |9,26                |
|NHibernateOrder     |0                   |9,35                |
|NHibernateOrder     |0                   |9,95                |
|NHibernateOrder     |0                   |9,76                |
|NHibernateOrder     |0                   |7,78                |
|NHibernateOrder     |0                   |8,78                |
|NHibernateOrder     |0                   |8,91                |
|NHibernateOrder     |0                   |9,56                |
|NHibernateOrder     |0                   |8,88                |
|NHibernateOrder     |0                   |9,48                |
|NHibernateOrder     |0                   |8,35                |
|NHibernateOrder     |0                   |8,63                |
|NHibernateOrder     |0                   |9,44                |
|NHibernateOrder     |0                   |8,39                |
|NHibernateOrder     |0                   |8,59                |
|NHibernateOrder     |0                   |8,76                |
|NHibernateOrder     |0                   |8,13                |
|NHibernateOrder     |0                   |9,14                |
|NHibernateOrder     |0                   |9,19                |
|NHibernateOrder     |0                   |10,22               |
|NHibernateOrder     |0                   |9,27                |
|NHibernateOrder     |0                   |8,12                |
|NHibernateOrder     |0                   |9,21                |
|NHibernateOrder     |0                   |8,75                |
|NHibernateOrder     |0                   |9,49                |
|NHibernateOrder     |0                   |8,39                |
|NHibernateOrder     |0                   |8,79                |
|NHibernateOrder     |0                   |8,7                 |
|NHibernateOrder     |0                   |8,85                |
|NHibernateOrder     |0                   |9,46                |
|NHibernateOrder     |0                   |8,04                |
|NHibernateOrder     |0                   |8,65                |
|NHibernateOrder     |0                   |9,5                 |
|NHibernateOrder     |0                   |8,47                |
----------------------------------------------------------------
|Ortalama Değer      |0                   |8,94                |
