CPU Usage - 18.06.2022 12:54:20
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,49                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,74                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |2,03                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |1,49                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |1,5                 |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0                   |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
|DapperSearch        |0                   |0,75                |
