CPU Usage - 18.06.2022 13:20:50
|Metot Adı           |Kayıt Sayısı        |CPU Kullanımı       |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |1,49                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,49                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |1,49                |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,72                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,49                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,49                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |1,49                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,49                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,49                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,73                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |2,23                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,73                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |2,01                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,49                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |1,49                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,49                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |1,49                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |2,22                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0                   |
|EFCoreSearch        |0                   |1,48                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
|EFCoreSearch        |0                   |0,74                |
